,Immune cells,Metabolic process,SLC transporters (synonyms),Substrates,Transporter name,Synonym,Transporter name (mouse)
0,T cells,Glucose metabolism,SLC2A1 (GLUT1),D-Glucose,SLC2A1,GLUT1,Slc2a1
1,T cells,Glucose metabolism,SLC16A1 (MCT1),L-Lactate,SLC16A1,MCT1,Slc16a1
2,T cells,Glucose metabolism,SLC16A1 (MCT1),Acetate,SLC16A1,MCT1,Slc16a1
3,T cells,Glucose metabolism,SLC16A4,Acetate,SLC16A4,,Slc16a4
4,T cells,Amino acid metabolism,SLC7A5 (LAT1),L-Methionine / L-Leucine,SLC7A5,LAT1,Slc7a5
5,T cells,Amino acid metabolism,SLC38A1 (SNAT1),L-Glutamine,SLC38A1,SNAT1,Slc38a1
6,T cells,Amino acid metabolism,SLC43A2 (LAT4),L-Methionine,SLC43A2,LAT4,Slc43a2
7,T cells,Amino acid metabolism,SLC7A1 (CAT1),L-Arginine,SLC7A1,CAT1,Slc7a1
8,T cells,Amino acid metabolism,SLC38A1 (SNAT1),L-Alanine,SLC38A1,SNAT1,Slc38a1
9,T cells,Amino acid metabolism,SLC7A1 (CAT1),L-Arginine,SLC7A1,CAT1,Slc7a1
10,T cells,Amino acid metabolism,SLC38A2 (SNAT2),L-Glutamine,SLC38A2,SNAT2,Slc38a2
11,T cells,Amino acid metabolism,SLC1A5 (ASCT2),L-Asparagine,SLC1A5,ASCT2,Slc1a5
12,T cells,Amino acid metabolism,SLC7A11 (xCT),L-Cystine / L-Glutamate,SLC7A11,xCT,Slc7a11
13,T cells,Lipid metabolism,FABP5,Fatty acid,FABP5,,Fabp5
14,T cells,Lipid metabolism,CPT1A (CPT1),Fatty acid,CPT1A,CPT1,Cpt1a
15,T cells,Lipid metabolism,FABP4,Fatty acid,FABP4,,Fabp4
16,T cells,Lipid metabolism,CD36 (FAT),Fatty acid,CD36,FAT,Cd36
17,T cells,Other metabolism,SLC7A8 (LAT2),Kynurenine,SLC7A8,LAT2,Slc7a8
18,T cells,Other metabolism,SLC36A4 (PAT4),Kynurenine,SLC36A4,PAT4,Slc36a4
19,T cells,Other metabolism,SLC6A8 (CRT),Creatine,SLC6A8,CRT,Slc6a8
20,T cells,Other metabolism,SLC6A13 (GAT2),GABA,SLC6A13,GAT2,Slc6a13
21,DCs,Glucose metabolism,SLC2A1 (GLUT1),D-Glucose,SLC2A1,GLUT1,Slc2a1
22,DCs,Glucose metabolism,SLC16A1 (MCT1),L-Lactate,SLC16A1,MCT1,Slc16a1
23,DCs,Amino acid metabolism,SLC3A2 (CD98),L-Cystine / L-Glutamate,SLC3A2,CD98,Slc3a2
24,DCs,Amino acid metabolism,SLC7A11 (xCT),L-Cystine / L-Glutamate,SLC7A11,xCT,Slc7a11
25,DCs,Amino acid metabolism,SLC1A5 (ASCT2),L-Glutamine,SLC1A5,ASCT2,Slc1a5
26,DCs,Lipid metabolism,CPT1A (CPT1),Fatty acid,CPT1A,CPT1,Cpt1a
27,DCs,Lipid metabolism,CD36 (FAT),Fatty acid,CD36,FAT,Cd36
28,DCs,Lipid metabolism,CD204 (MSR1),Fatty acid,CD204,MSR1,Msr1
29,DCs,Other metabolism,SLC39A6 (Zip6),Zinc,SLC39A6,Zip6,Slc39a6
30,DCs,Other metabolism,SLC39A10 (Zip10),Zinc,SLC39A10,Zip10,Slc39a10
31,DCs,Other metabolism,SLC30A1 (Znt1),Zinc,SLC30A1,Znt1,Slc30a1
32,DCs,Other metabolism,SLC30A4 (Znt4,Zinc,SLC30A4,Znt4,Slc30a4
33,DCs,Other metabolism,SLC30A6 (Znt6),Zinc,SLC30A6,Znt6,Slc30a6
34,NK cells,Glucose metabolism,SLC2A1 (GLUT1),D-Glucose,SLC2A1,GLUT1,Slc2a1
35,NK cells,Glucose metabolism,SLC16A1 (MCT1),L-Lactate,SLC16A1,MCT1,Slc16a1
36,NK cells,Glucose metabolism,SLC16A3,L-Lactate,SLC16A3,,Slc16a3
37,NK cells,Amino acid metabolism,SLC7A5 (LAT1),L-Glutamine,SLC7A5,LAT1,Slc7a5
38,NK cells,Amino acid metabolism,SLC3A2 (CD98),L-Leucine,SLC3A2,CD98,Slc3a2
39,NK cells,Amino acid metabolism,SLC7A5 (LAT1),L-Leucine,SLC7A5,LAT1,Slc7a5
40,NK cells,Amino acid metabolism,SLC1A5 (ASCT2),L-Glutamine,SLC1A5,ASCT2,Slc1a5
41,NK cells,Amino acid metabolism,SLC3A2 (CD98),L-Glutamine,SLC3A2,CD98,Slc3a2
42,NK cells,Amino acid metabolism,SLC7A5 (LAT1),L-Glutamine,SLC7A5,LAT1,Slc7a5
43,NK cells,Lipid metabolism,CD36 (FAT),Fatty acid,CD36,FAT,Cd36
44,NK cells,Lipid metabolism,MSR1,Fatty acid,MSR1,,Msr1
45,NK cells,Other metabolism,CD71,Iron,CD71,,Unknown
46,NK cells,Other metabolism,SLC3A2 (CD98),Iron,SLC3A2,CD98,Slc3a2
47,Macrophages,Glucose metabolism,SLC2A1 (GLUT1),D-Glucose,SLC2A1,GLUT1,Slc2a1
48,Macrophages,Glucose metabolism,SLC16A1 (MCT1),L-Lactate,SLC16A1,MCT1,Slc16a1
49,Macrophages,Glucose metabolism,SLC16A2,L-Lactate,SLC16A2,,Slc16a2
50,Macrophages,Glucose metabolism,SLC16A3,L-Lactate,SLC16A3,,Slc16a3
51,Macrophages,Glucose metabolism,SLC16A4,L-Lactate,SLC16A4,,Slc16a4
52,Macrophages,Amino acid metabolism,SLC1A5 (ASCT2),L-Glutamine,SLC1A5,ASCT2,Slc1a5
