,Protein Name,Substrate,Subtype,Family,Family Name,Transporter Class,TC number,Entry,Entry Name,Protein names,Gene Symbol,Uniprot ID
0,NP_006832,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18,Q99624,S38A3_HUMAN,Sodium-coupled neutral amino acid transporter 3 (N-system amino acid transporter 1) (Na(+)-coupled neutral amino acid transporter 3) (Solute carrier family 38 member 3) (System N amino acid transporter 1),SLC38A3,Q99624
1,NP_060701,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18,Q9NVC3,S38A7_HUMAN,Sodium-coupled neutral amino acid transporter 7 (Solute carrier family 38 member 7),SLC38A7,Q9NVC3
2,NP_277053,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18,Q8WUX1,S38A5_HUMAN,Sodium-coupled neutral amino acid transporter 5 (Solute carrier family 38 member 5) (System N transporter 2),SLC38A5,Q8WUX1
3,NP_277053,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18,A0A024QYY0,A0A024QYY0_HUMAN,"Solute carrier family 38, member 5, isoform CRA_a",SLC38A5,A0A024QYY0
4,NP_510968,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18,Q7Z2H8,S36A1_HUMAN,Proton-coupled amino acid transporter 1 (Proton/amino acid transporter 1) (hPAT1) (Solute carrier family 36 member 1),SLC36A1,Q7Z2H8
5,NP_542119,vesicular inhibitory amino acid (GABA/glycine),,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18,Q9H598,VIAAT_HUMAN,Vesicular inhibitory amino acid transporter (GABA and glycine transporter) (Solute carrier family 32 member 1) (Vesicular GABA transporter) (hVIAAT),SLC32A1,Q9H598
6,NP_060488,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18,Q969I6,S38A4_HUMAN,Sodium-coupled neutral amino acid transporter 4 (Amino acid transporter A3) (Na(+)-coupled neutral amino acid transporter 4) (Solute carrier family 38 member 4) (System A amino acid transporter 3) (System N amino acid transporter 3),SLC38A4,Q969I6
7,NP_060488,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18,A0A024R0X7,A0A024R0X7_HUMAN,"Solute carrier family 38, member 4, isoform CRA_c",SLC38A4,A0A024R0X7
8,NP_612637,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18,Q9HBR0,S38AA_HUMAN,Putative sodium-coupled neutral amino acid transporter 10 (Solute carrier family 38 member 10),SLC38A10,Q9HBR0
9,NP_001033073,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18,Q9HBR0,S38AA_HUMAN,Putative sodium-coupled neutral amino acid transporter 10 (Solute carrier family 38 member 10),SLC38A10,Q9HBR0
10,NP_061849,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18,Q96QD8,S38A2_HUMAN,Sodium-coupled neutral amino acid symporter 2 (Amino acid transporter A2) (Protein 40-9-1) (Solute carrier family 38 member 2) (System A amino acid transporter 2) (System A transporter 1) (System N amino acid transporter 2),SLC38A2,Q96QD8
11,NP_061849,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18,A0A024R0W3,A0A024R0W3_HUMAN,"Solute carrier family 38, member 2, isoform CRA_b",SLC38A2,A0A024R0W3
12,NP_001070952,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18,Q9H2H9,S38A1_HUMAN,Sodium-coupled neutral amino acid symporter 1 (Amino acid transporter A1) (N-system amino acid transporter 2) (Solute carrier family 38 member 1) (System A amino acid transporter 1) (System N amino acid transporter 1),SLC38A1,Q9H2H9
13,NP_109599,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18,Q9H2H9,S38A1_HUMAN,Sodium-coupled neutral amino acid symporter 1 (Amino acid transporter A1) (N-system amino acid transporter 2) (Solute carrier family 38 member 1) (System A amino acid transporter 1) (System N amino acid transporter 1),SLC38A1,Q9H2H9
14,NP_001070952,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18,A0A024R124,A0A024R124_HUMAN,"Solute carrier family 38, member 1, isoform CRA_a",SLC38A1,A0A024R124
15,NP_109599,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18,A0A024R124,A0A024R124_HUMAN,"Solute carrier family 38, member 1, isoform CRA_a",SLC38A1,A0A024R124
16,NP_689526,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18,Q6YBV0,S36A4_HUMAN,Neutral amino acid uniporter 4 (Solute carrier family 36 member 4),SLC36A4,Q6YBV0
17,NP_722518,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18,Q8IZM9,S38A6_HUMAN,Probable sodium-coupled neutral amino acid transporter 6 (N-system amino acid transporter 1) (NAT-1) (Na(+)-coupled neutral amino acid transporter 6) (Solute carrier family 38 member 6),SLC38A6,Q8IZM9
18,NP_775783,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18,Q08AI6,S38AB_HUMAN,Putative sodium-coupled neutral amino acid transporter 11 (Solute carrier family 38 member 11),SLC38A11,Q08AI6
19,NP_775785,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18,Q8NBW4,S38A9_HUMAN,Neutral amino acid transporter 9 (Solute carrier family 38 member 9) (Up-regulated in lung cancer 11),SLC38A9,Q8NBW4
20,NP_775785,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18,A0A024QZR9,A0A024QZR9_HUMAN,Amino acid transporter transmembrane domain-containing protein,SLC38A9,A0A024QZR9
21,NP_001073911,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18,A6NNN8,S38A8_HUMAN,Putative sodium-coupled neutral amino acid transporter 8 (Solute carrier family 38 member 8),SLC38A8,A6NNN8
22,NP_060198,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18,Q8NE00,TM104_HUMAN,Transmembrane protein 104,TMEM104,Q8NE00
